,Site Name,Site Address,Site City,Site State Abbreviation,Site Postal Code,Site Telephone Number,Site Web Address,Health Center Service Delivery Site Location Setting Description,Health Center Location Type Description,Health Center Type Description,Geocoding Artifact Address Primary X Coordinate,Geocoding Artifact Address Primary Y Coordinate
28,HARRISBURG COMMUNITY HTLH CENTER,205 N Main St,Harrisburg,IL,62946-1256,618-253-8450,www.chesi.org,All Other Clinic Types,Permanent,Service Delivery Site,-88.54032052,37.73982301
29,Valleywise Community Health Center - Guadalupe,5825 East Calle Guadalupe,Tempe,AZ,85283,480-344-6000,https://valleywisehealth.org/services/primary-care/,All Other Clinic Types,Permanent,Service Delivery Site,-111.95859901,33.36333041
30,The Wright Center for Community Health Mid Valley Practice,5 S Washington Ave,Jermyn,PA,18433-1121,570-230-0019,https://thewrightcenter.org/home/patientcare/locations/mid-valley/,All Other Clinic Types,Permanent,Service Delivery Site,-75.54756786,41.51633676
31,"Compass Health, Inc.",303 N Keene St STE 202,Columbia,MO,65201-8052,844-853-8937,,All Other Clinic Types,Permanent,Service Delivery Site,-92.29012164,38.95467427
32,Jericho Road CHC (Barton),184 Barton St,Buffalo,NY,14213-1573,716-881-6191,www.jrchc.org,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-78.89466288,42.91789948
33,CARONDELET,401 Holly Hills Ave,Saint Louis,MO,63111-2410,314-481-1615,www.familycarehealthcenter.org,All Other Clinic Types,Permanent,Service Delivery Site,-90.25114365,38.55808372
36,Jesse Norma Jim Health Center,Relay Rd,Angoon,AK,99820,907-788-4600,www.searhc.org,All Other Clinic Types,Permanent,Service Delivery Site,-134.57875094,57.49937021
38,Dirne CHC - UGM Clinic,196 W Haycraft Ave,Coeur D Alene,ID,83815-9317,208-665-4673,,All Other Clinic Types,Permanent,Service Delivery Site,-116.78822664,47.7025183
44,Little Mountain Pediatric and Family Practice,99 N Mill St,Little Mountain,SC,29075-8788,803-945-1005,,All Other Clinic Types,Permanent,Service Delivery Site,-81.4151564,34.19660177
47,El Pueblo Health Services Behavioral Health,681 S Camino del Pueblo,Bernalillo,NM,87004-5710,505-867-2324,,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-106.54792804,35.3066869
48,Mattapan Community Health Center,1575 Blue Hill Ave,Mattapan,MA,02126-2122,617-296-0061,www.mattapanchc.org,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-71.0940265,42.26981743
51,"Good Shepherd Community Clinic, Inc. 1520 N Commerce",1520 N Commerce St,Ardmore,OK,73401-1861,580-223-2006,,All Other Clinic Types,Permanent,Service Delivery Site,-97.14296421,34.19033412
52,Hope Clinic Ennis,805 W Lampasas St,Ennis,TX,75119-4535,972-923-2440,,All Other Clinic Types,Permanent,Service Delivery Site,-96.63258066,32.31946391
53,Jordan Valley Community Health Center - Lebanon Evergreen,2020 Evergreen Pkwy,Lebanon,MO,65536-4611,417-831-0150,,All Other Clinic Types,Permanent,Service Delivery Site,-92.65787857,37.65976641
54,"Unicare Community Health Center, Inc. - Pomona",1501 E Holt Ave,Pomona,CA,91767-5823,909-623-3600,www.unicarechc.org,All Other Clinic Types,Permanent,Service Delivery Site,-117.72058211,34.06319846
58,Great Lakes Bay Health Centers Davenport,3023 Davenport Ave,Saginaw,MI,48602-3652,989-907-2761,greatlakesbayhealthcenters.org,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-83.98116064,43.43788333
59,CommWell Health of Shallotte - Medical,341 Whiteville Rd NW,Shallotte,NC,28470-4507,877-935-5255,,All Other Clinic Types,Permanent,Service Delivery Site,-78.39720011,33.97152319
60,Valley Family Health Care - Vale Medical Clinic,789 Washington St W,Vale,OR,97918-1147,541-473-2101,www.vfhc.org,All Other Clinic Types,Permanent,Service Delivery Site,-117.24764856,43.98260381
63,FASSETT-MAGEE HEALTH CENTER/Cambridge Dental Center,503 Muir St STE A,Cambridge,MD,21613-1848,410-228-4045,www.choptankhealth.org,All Other Clinic Types,Permanent,Service Delivery Site,-76.07891414,38.56850787
64,One Health - Cody Clinic,902 Blackburn St,Cody,WY,82414-8494,307-291-0447,,All Other Clinic Types,Permanent,Service Delivery Site,-109.04251964,44.52853146
66,NorthLakes - River's Edge,15954 Rivers Edge Dr,Hayward,WI,54843-7800,888-834-4551,www.nlccwi.org,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-91.4875426,46.00472253
67,OneWorld Northwest,4229 N 90th St,Omaha,NE,68134-4136,402-401-6000,www.oneworldomaha.org,All Other Clinic Types,Permanent,Service Delivery Site,-96.05245373,41.29740783
68,"Black River Health Services, Inc.",301 S Campbell St,Burgaw,NC,28425-5011,910-259-6975,,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-77.92044768,34.54962431
70,Laskey Family Health Center,2658 W Laskey Rd,Toledo,OH,43613-3288,419-214-0071,www.nhainc.org,All Other Clinic Types,Permanent,Service Delivery Site,-83.60885528,41.70656405
71,Med Centro El Tuque Satellite Center,"St. 8A N9 Nueva Vida, El Tuque",Mayagüez,PR,00728-5315,787-841-0993,www.medcentro.org,All Other Clinic Types,Permanent,Service Delivery Site,-66.646789,18.010336
73,Southampton Street Shelter,112 Southampton St,Boston,MA,02118-2711,617-534-2881,,All Other Clinic Types,Permanent,Service Delivery Site,-71.06927122,42.33238733
74,"Community Medical Centers, Vacaville",600 Nut Tree Rd STE 310,Vacaville,CA,95687-4686,707-359-1800,www.communitymedicalcenters.org,All Other Clinic Types,Permanent,Service Delivery Site,-121.94968091,38.36133225
76,Tejas Health Care Medical Center,890 E Travis St,La Grange,TX,78945-2364,979-968-2000,www.tejashealthcare.org,All Other Clinic Types,Permanent,Service Delivery Site,-96.86776915,29.9101557
77,MAP @ Waynesboro,301 Jones Ave,Waynesboro,GA,30830-1510,706-790-4440,www.mapbt.com,All Other Clinic Types,Permanent,Service Delivery Site,-82.01364466,33.08183685
78,PEARSALL CLINIC,150 Medical Dr,Pearsall,TX,78061-6624,830-334-4102,tachc.org,All Other Clinic Types,Permanent,Service Delivery Site,-99.1164404,28.89717546
79,Abbeville Family Health Center,615 Ozark Rd,Abbeville,AL,36310-2629,334-585-1171,,All Other Clinic Types,Permanent,Service Delivery Site,-85.27922181,31.55104556
80,Wesley Health Centers - MLK Recuperative Care Center,1670 E 120th St,Los Angeles,CA,90059-3026,424-338-2111,www.jwchinstitute.org,All Other Clinic Types,Permanent,Service Delivery Site,-118.24175267,33.9245707
81,BROWARD COMMUNITY &amp; FAMILY HEALTH CENTER-HOLLYWOOD,5010 Hollywood Blvd # 5012,Hollywood,FL,33021-6557,954-967-0028,www.bcfhc.org,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-80.19443731,26.0103126
83,"Health Center at Academy, Suite 3500",3207 N Academy Blvd STE 3500,Colorado Springs,CO,80917-5101,719-632-5700,www.peakvista.org,All Other Clinic Types,Permanent,Service Delivery Site,-104.75697249,38.878488
84,Dothan Family Health Center,4300 W Main St STE 300,Dothan,AL,36305-1313,334-446-0076,,All Other Clinic Types,Permanent,Service Delivery Site,-85.45761819,31.23596987
85,"Community Medical Centers, Dorothy L. Jones",2044 Fair St,Stockton,CA,95206-2313,209-944-4700,,All Other Clinic Types,Permanent,Service Delivery Site,-121.26471442,37.93359098
86,PATH (People Assisting The Homeless),816 Cacique St,Santa Barbara,CA,93103-3622,805-884-8481,,All Other Clinic Types,Permanent,Service Delivery Site,-119.67695217,34.41913669
88,Adelante Healthcare Surprise Behavioral Health,15317 W Bell Rd STE 106,Surprise,AZ,85374-3901,480-964-2273,,All Other Clinic Types,Permanent,Service Delivery Site,-112.39112902,33.6386225
89,QUEENSBRIDGE CLINIC,1029 41st Ave,Long Island City,NY,11101-7346,718-361-6266,www.thefloatinghospital.org,All Other Clinic Types,Permanent,Service Delivery Site,-73.94440944,40.75524948
90,Community Clinic Fayetteville Medical,3162 W Martin Luther King Jr Blvd # 13AND14,Fayetteville,AR,72704-7679,479-751-7417,,All Other Clinic Types,Permanent,Service Delivery Site,-94.20572431,36.05224415
91,Lone Star Circle of Care at Collinfield,8913 Collinfield Dr UNIT 1,Austin,TX,78758-6704,877-800-5722,www.lonestarcares.org,All Other Clinic Types,Permanent,Service Delivery Site,-97.70586794,30.36083802
93,Beverly Press Health Center,1221 71st St,Miami Beach,FL,33141-3647,305-538-8835,miamibeachhealth.org,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-80.13194486,25.85447047
96,Inland Family Community Health Center,665 N D St,San Bernardino,CA,92401-1109,909-881-6146,www.ibhealth.org,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-117.29189034,34.11172779
97,Unicare Community Health Center - Ontario 1151,1151 E Walnut St,Ontario,CA,91761-6155,909-467-1425,,All Other Clinic Types,Permanent,Service Delivery Site,-117.63033449,34.02672138
98,Beacon Christian Community Health Center,2079 Forest Ave,Staten Island,NY,10303-1865,718-815-6560 x200,www.beaconcchc.com,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-74.15859556,40.62647599
101,Bedford  Community Health Center,582 Blue Ridge Ave,Bedford,VA,24523-2604,540-425-7910,www.jhcvirginia.org,All Other Clinic Types,Permanent,Service Delivery Site,-79.53269201,37.33751199
103,Aria Community Health Center,781 Sequoia Ave STE 3,Lindsay,CA,93247-1448,559-562-9399,www.AriaCHC.org,All Other Clinic Types,Permanent,Service Delivery Site,-119.09611067,36.21239764
105,Reynoldsburg Clinic,7335 E Livingston Ave,Reynoldsburg,OH,43068-3089,614-328-9200,,All Other Clinic Types,Permanent,Service Delivery Site,-82.79687701,39.94569811
106,ARcare - 091,2411 McCain Blvd,North Little Rock,AR,72116-7571,870-347-2534,,All Other Clinic Types,Permanent,Service Delivery Site,-92.2392471,34.79768623
107,Outpatient Substance Abuse Program,3004 Grand Ave,Waukegan,IL,60085-2321,847-377-8120,,All Other Clinic Types,Permanent,Service Delivery Site,-87.87658107,42.37040773
108,"FAMILY HEALTH SERVICES - BURLEY MEDICAL, DENTAL &amp; BEHAVIORAL HEALTH CLINIC",1309 Bennett Ave,Burley,ID,83318-2676,208-678-7796,www.fhsid.org,All Other Clinic Types,Permanent,Service Delivery Site,-113.78040225,42.53689248
111,Gardner Downtown Health Center,725 E Santa Clara St,San Jose,CA,95112-1900,408-918-2682,,All Other Clinic Types,Permanent,Service Delivery Site,-121.87568832,37.34325392
112,MOSTELLAR SUPPORT SERVICES ANNEX,13040 N Wintzell Ave,Bayou La Batre,AL,36509-2166,251-824-2174,mostellarmedical.org,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-88.24431486,30.42020746
113,Arcadia Family Optometry Center,122 N Brevard Ave,Arcadia,FL,34266-4404,863-494-1918,www.mcrhs.org,All Other Clinic Types,Permanent,Service Delivery Site,-81.85816446,27.21668769
114,CENTROMED WOMEN'S SHELTER CLINIC - LA PALOMA DE PAZ,7404 W US Highway 90 BLDG 37,San Antonio,TX,78227-4024,210-922-7000,www.centromedsa.com,All Other Clinic Types,Permanent,Service Delivery Site,-98.63355703,29.40095995
116,Bradford Dental Center,600 Chestnut Street Ext STE B,Bradford,PA,16701-5438,814-366-5955,,All Other Clinic Types,Permanent,Service Delivery Site,-78.64951686,41.94446465
117,New Hope Community Health Center,430 N Larch St STE 1,Lansing,MI,48912-1283,517-887-4400,,All Other Clinic Types,Permanent,Service Delivery Site,-84.54464255,42.73827898
118,CSC Community Health Center - San Gabriel Valley,320 S Garfield Ave STE 118,Alhambra,CA,91801-3887,626-773-3388,www.cscla.org,All Other Clinic Types,Permanent,Service Delivery Site,-118.12451465,34.0918411
119,DENTAL CENTER OF TAYLOR COUNTY,711 N Pike St,Grafton,WV,26354-1221,304-265-4600,,All Other Clinic Types,Permanent,Service Delivery Site,-80.01835574,39.34579692
121,"Regional Community Health Center, Homeless Site",527 State St,Hammond,IN,46320-1533,219-937-3300,www.regionalmentalhealth.org,All Other Clinic Types,Permanent,Service Delivery Site,-87.51572656,41.61838291
122,Central Oklahoma Family Medical Center - Peds II,1214 Arlington St,Ada,OK,74820-4045,580-399-1589,,All Other Clinic Types,Permanent,Service Delivery Site,-96.66094502,34.78168749
123,Compass Health - High Ridge,324 Emerson Rd,High Ridge,MO,63049-2542,636-677-9977,,All Other Clinic Types,Permanent,Service Delivery Site,-90.50521028,38.48430774
124,Meadow Bridge Clinic,8971 Sewell Creek Rd,Meadow Bridge,WV,25976-7727,304-484-7755,,All Other Clinic Types,Permanent,Service Delivery Site,-80.85543356,37.85626378
125,Valley Family Women and Children Clinic,840 SW 4th Ave,Ontario,OR,97914-2633,541-881-2800,,All Other Clinic Types,Permanent,Service Delivery Site,-116.97476162,44.0247647
126,Tapestry 360 Health - Touhy,2200 W Touhy Ave,Chicago,IL,60645-3412,773-751-1875,https://tap360health.org/,All Other Clinic Types,Permanent,Service Delivery Site,-87.68642628,42.01230311
127,Clarity Healthcare,3401 Berrywood Dr,Columbia,MO,65201-8372,573-777-8430,,All Other Clinic Types,Permanent,Service Delivery Site,-92.28719762,38.95850873
128,HopeHealth Hemingway,2266 Hemingway Hwy,Hemingway,SC,29554-5407,843-667-9414,,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-79.45699237,33.75208452
130,Casa Grande,210 E Cottonwood Ln,Casa Grande,AZ,85122-2514,520-836-1688,,All Other Clinic Types,Permanent,Service Delivery Site,-111.75200404,32.89417492
132,SOUTH SIDE COMMUNITY HEALTH CTR,732 South Ave,Toledo,OH,43609-2768,419-241-6106,www.nhainc.org,All Other Clinic Types,Permanent,Service Delivery Site,-83.55734203,41.63085745
134,Tapestry 360 Health - Wilson,845 W Wilson Ave,Chicago,IL,60640-8090,773-506-4283,https://tap360health.org/,All Other Clinic Types,Permanent,Service Delivery Site,-87.65199577,41.96547681
136,Sunnyside Health Center,"9775 SE Sunnyside Rd, Ste 200",Clackamas,OR,97015-5721,503-655-8471,https://www.clackamas.us/healthcenters,All Other Clinic Types,Permanent,Service Delivery Site,-122.56321074,45.43344357
144,Neighborhood Healthcare ~ Arlanza Family Health Center,8856 Arlington Ave,Riverside,CA,92503-1365,760-520-8300,,All Other Clinic Types,Permanent,Service Delivery Site,-117.46741175,33.94647547
145,Valley Lodge,145 W 108th St,New York,NY,10025-2995,212-678-0570,,All Other Clinic Types,Permanent,Service Delivery Site,-73.96414044,40.8016089
147,POPE COUNTY MEDICAL CLINIC,217 S Adams St,Golconda,IL,62938-1134,618-683-3781,www.chesi.org,All Other Clinic Types,Permanent,Service Delivery Site,-88.48873962,37.36671915
148,Neighborhood Health Center Southtowns,151 Elmview Ave,Hamburg,NY,14075-3762,716-875-2904,,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-78.84222133,42.73334719
149,The Saban Community Clinic - The S. Mark Taper Foundation Health Center,6043 Hollywood Blvd,Los Angeles,CA,90028-5411,323-337-1736,thesabanfreeclinic.org,All Other Clinic Types,Permanent,Service Delivery Site,-118.32156607,34.10168229
150,GHMS Canton Center,210 Oakside Ln,Canton,GA,30114-6417,678-807-1050,,All Other Clinic Types,Permanent,Service Delivery Site,-84.48911009,34.2470125
151,AltaMed Pharmacy - Pico Passons,6336 Passons Blvd,Pico Rivera,CA,90660-3355,888-499-9303,www.altamed.org,All Other Clinic Types,Permanent,Service Delivery Site,-118.08620693,33.98523024
152,Adult Health Clinic/Cumberland County Health Department,1235 Ramsey St,Fayetteville,NC,28301-4401,910-433-3649,,All Other Clinic Types,Permanent,Service Delivery Site,-78.88205289,35.07385515
153,"Central City Community Health Center, Inc. - Anaheim",2237 W Ball Rd,Anaheim,CA,92804-5314,714-490-2750,www.centralcityhealth.org,All Other Clinic Types,Permanent,Service Delivery Site,-117.96105941,33.81778417
154,MIDTOWN COMMUNITY HEALTH CENTER,2240 Adams Ave,Ogden,UT,84401-1511,801-393-5355,,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-111.96751635,41.22578136
156,373 Summit St,373 Summit St,Elgin,IL,60120-3733,844-599-3700,www.greaterfamilyhealth.org,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-88.27765229,42.04638301
158,Edgar May Health and Recreation Center,140 Clinton St,Springfield,VT,05156-3304,802-886-8900,,All Other Clinic Types,Permanent,Service Delivery Site,-72.47371785,43.29147684
159,Foothills Community Health Care-Easley,403 Hillcrest Dr,Easley,SC,29640-1207,864-343-1220 x201,www.myfchc.org,All Other Clinic Types,Permanent,Service Delivery Site,-82.6101148,34.83787813
160,"Charles Drew Health Center, Inc. Teen &amp; Young Adult Health Center at Benson",5920 Maple St,Omaha,NE,68104-4102,402-451-3553,https://charlesdrew.com/,All Other Clinic Types,Permanent,Service Delivery Site,-96.00453999,41.2850275
161,Missouri Highlands Health Care - Naylor,220 Broad St,Naylor,MO,63953,573-399-2311,www.mohigh.org,All Other Clinic Types,Permanent,Service Delivery Site,-90.60840761,36.57576653
164,NeoMed Center-Naguabo,3.7 Carr 31,Duque,PR,00718,787-737-2311,www.neomedcenter.org,All Other Clinic Types,Permanent,Service Delivery Site,-65.73828487,18.21411398
165,Ridgeway Family Health,4944 Greensboro Rd,Ridgeway,VA,24148-3390,276-403-5007,http://www.healthycommunitymhc.org/,All Other Clinic Types,Permanent,Service Delivery Site,-79.85983668,36.62627913
166,Cascadia Plaza Health Center 200,4212 SE Division St STE 200,Portland,OR,97206-1680,503-230-9654,,All Other Clinic Types,Permanent,Service Delivery Site,-122.61839149,45.50523696
167,Spectra Health Grand Forks Medical,212 S 4th St STE 301,Grand Forks,ND,58201-4776,701-757-2100,www.spectrahealth.org,All Other Clinic Types,Permanent,Service Delivery Site,-97.02804773,47.92246564
168,ACCESS Austin Family Health Center,4909 W Division St STE 508,Chicago,IL,60651-3161,773-364-4600,www.accesscommunityhealth.net,All Other Clinic Types,Permanent,Service Delivery Site,-87.74926399,41.90231087
169,NORTH EAST MEDICAL SERVICES - PACIFIC,728 Pacific Ave STE 201,San Francisco,CA,94133-4449,415-391-9686,,All Other Clinic Types,Permanent,Service Delivery Site,-122.40742972,37.79687959
170,Clinton Family Medical Center,606 Burkesville Rd,Albany,KY,42602-1612,606-387-4251,www.cumberlandfamilymedical.com,All Other Clinic Types,Permanent,Service Delivery Site,-85.14313583,36.69768611
171,North Mobile Health Center,950 W Coy Smith Hwy,Mount Vernon,AL,36560-3201,251-829-9884,familyhealthalabama.org,All Other Clinic Types,Permanent,Service Delivery Site,-88.05941726,31.10568181
172,WHITESIDE CHD - ROCK FALLS,1300 W 2nd St,Rock Falls,IL,61071-1005,815-626-2230 x1206,www.whitesidehealth.org,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-89.70666067,41.77870408
173,Clinica Family Health - People's,2525 13th St,Boulder,CO,80304-4104,303-449-6050,clinica.org,All Other Clinic Types,Permanent,Service Delivery Site,-105.2805811,40.0239762
174,DBA Bluegrass Community Health Center,224 N Martin Luther King Blvd STE 200,Lexington,KY,40507-2133,859-977-7474,,All Other Clinic Types,Permanent,Service Delivery Site,-84.49127279,38.04772933
176,Black Men&#39;s Health Clinic,6633 E Highway 290 STE 100,Austin,TX,78723-1157,512-978-9015,https://communitycaretx.org/black-mens-health-clinic/,All Other Clinic Types,Permanent,Service Delivery Site,-97.69288261,30.32082613
178,CenterPlace Health Ringling Health Center,2200 Ringling Blvd,Sarasota,FL,34237,941-529-0200,Pending,All Other Clinic Types,Permanent,Service Delivery Site,-82.52592621,27.33496523
179,Mission City Community Network - Corona,613 S Howard St,Corona,CA,92879-2254,818-895-3100,,All Other Clinic Types,Permanent,Service Delivery Site,-117.56270594,33.87429953
180,23rd Avenue Health Center,8804 N 23rd Ave STE A1,Phoenix,AZ,85021-4160,602-685-6000,terroshealth.org,All Other Clinic Types,Permanent,Service Delivery Site,-112.10886809,33.56461281
182,CLINICA SIERRA VISTA - Central Bakersfield Community Health Center,301 Brundage Ln,Bakersfield,CA,93304-3248,661-323-6086,www.clinicasierravista.org,All Other Clinic Types,Permanent,Service Delivery Site,-119.00555829,35.3538688
183,Aghaby: Walnut Park,2542 E Florence Ave STE B,Walnut Park,CA,90255-4774,323-584-8700,www.acchealthcenters.org,All Other Clinic Types,Permanent,Service Delivery Site,-118.22641504,33.97430192
184,Blue Ridge Health - Brevard,"29 West French Broad Street, #210",Brevard,NC,28712-4773,828-883-5550,,All Other Clinic Types,Permanent,Service Delivery Site,-82.73256158,35.23667018
188,MT VERNON COMMUNITY HLTH CENTER,2920 Veterans Memorial Dr,Mount Vernon,IL,62864-5924,618-244-6544,www.crhpc.org,All Other Clinic Types,Permanent,Service Delivery Site,-88.92742304,38.29988393
189,Omni Family Health,1001 Main St,Delano,CA,93215-1731,866-707-6664,www.OmniFamilyHealth.org,All Other Clinic Types,Permanent,Service Delivery Site,-119.24573795,35.76932722
190,GVHC - Modesto Coolidge,208 W Coolidge Ave,Modesto,CA,95350-4447,209-724-6200,,All Other Clinic Types,Permanent,Service Delivery Site,-120.99515313,37.66550168
191,FHC Tonasket Medical Clinic,106 S Whitcomb Ave,Tonasket,WA,98855-9286,509-486-0114,http://www.myfamilyhealth.org/,All Other Clinic Types,Permanent,Service Delivery Site,-119.43779845,48.70684804
194,"Center for Family Health &amp; Education, Inc. dba Orchard Medical Center",555 6th St,Orange Cove,CA,93646-2136,559-626-7118,www.cffhae.org,All Other Clinic Types,Permanent,Service Delivery Site,-119.3124175,36.62529329
195,ARC 210 Mental Health Clinic,310 8th St STE 210,Oakland,CA,94607-6527,510-735-3900,www.asianhealthservices.org,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-122.27041627,37.79894438
200,Child Guidance Center of Southern Connecticut,401 Shippan Ave,Stamford,CT,06902-6075,203-324-6127,,All Other Clinic Types,Permanent,Service Delivery Site,-73.52389589,41.0457478
201,La Maestra Family Clinic Inc.,4177 Fairmount Ave,San Diego,CA,92105-1609,619-280-4213,,All Other Clinic Types,Permanent,Service Delivery Site,-117.10085998,32.75279129
202,CSC Community Health Center - San Gabriel Valley - STE 106,320 S Garfield Ave Ste 106,Alhambra,CA,91801-3887,213-808-1792,www.cscla.org,All Other Clinic Types,Permanent,Service Delivery Site,-118.12449496,34.09181201
203,Linda Vista Health Care Center,6985 Linda Vista Rd,San Diego,CA,92111-6342,858-279-0925,,All Other Clinic Types,Permanent,Service Delivery Site,-117.16954188,32.78763951
205,Kiamichi Family Medical Center - Idabel,403 S Indian Rd,Idabel,OK,74745-5458,580-286-6688,www.kiamichimed.org,All Other Clinic Types,Permanent,Service Delivery Site,-94.79174851,33.89227556
206,Frank Kiang Medical Center,250 E 18th St FL 2,Oakland,CA,94606-1716,510-735-3888,www.asianhealthservices.org,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-122.25271487,37.79999745
208,BHA TITUSVILLE CLINIC,1537 N Singleton Ave,Titusville,FL,32796-1679,321-268-0267,www.bhachc.org,All Other Clinic Types,Permanent,Service Delivery Site,-80.84623196,28.63812855
209,Family HealthCare Network - Three Rivers Health Center,41651 Sierra Dr STE A,Three Rivers,CA,93271-9678,877-960-3426,www.fhcn.org,All Other Clinic Types,Permanent,Service Delivery Site,-118.90527091,36.43814698
210,PanCare - Chipley,1414 Main St STE 4,Chipley,FL,32428-6951,850-872-4128,www.pancarefl.org,All Other Clinic Types,Permanent,Service Delivery Site,-85.54581922,30.76045858
211,CSC - Community Health Center,767 N Hill St STE 200,Los Angeles,CA,90012-2365,213-808-1792,,All Other Clinic Types,Permanent,Service Delivery Site,-118.23972886,34.06251391
212,St. Thomas East End Medical Center Corporation,4605 Tutu Park Mall,St Thomas,VI,00802-1736,340-775-3700 x2003,none,All Other Clinic Types,Permanent,Service Delivery Site,-64.88969,18.33656999
213,LA FAMILIA - SOUTHSIDE CLINIC,2145 Caja del Oro Grant Rd,Santa Fe,NM,87507-3279,505-438-3195,www.lafamiliasf.org,All Other Clinic Types,Permanent,Service Delivery Site,-106.02673099,35.65844034
214,MHHC at 70W Burnside,70 W Burnside Ave,Bronx,NY,10453-4016,718-716-2229,www.mhhc.org,All Other Clinic Types,Permanent,Service Delivery Site,-73.91024069,40.85449984
215,MTMM-Shawnee,11644 W 75th St STE 103,Shawnee,KS,66214-1300,913-248-9965,https://www.mercyandtruth.com,All Other Clinic Types,Permanent,Service Delivery Site,-94.72090315,38.99289222
218,InterCommunity Inc.,16 Coventry St,Hartford,CT,06112-1524,860-714-3704,,All Other Clinic Types,Permanent,Service Delivery Site,-72.68992527,41.79653151
219,CareConnect Convenient Care,259 Broad St,Hawkinsville,GA,31036-4818,478-300-7107,,All Other Clinic Types,Permanent,Service Delivery Site,-83.48159997,32.28134095
220,Carolina Family Dental Center,8282 NC 58 S,Elm City,NC,27822-8079,252-443-7764,,All Other Clinic Types,Permanent,Service Delivery Site,-77.94066981,35.86633296
221,"DAVID RAINES COMMUNITY HEALTH CENTER, INC. - Shreveport",1625 David Raines Rd,Shreveport,LA,71107-5899,318-425-2252,davidraineschc.org,All Other Clinic Types,Permanent,Service Delivery Site,-93.82884565,32.53625673
